path,class_name
./data/dataset/BMW_SUV_X1_2016-2019/SUV_X1-80.jpg,BMW/SUV_X1/2016-2019
./data/dataset/BMW_SUV_X1_2016-2019/SUV_X1-8.jpg,BMW/SUV_X1/2016-2019
./data/dataset/BMW_SUV_X1_2016-2019/SUV_X1-8_aug41.jpg,BMW/SUV_X1/2016-2019
./data/dataset/BMW_SUV_X1_2016-2019/SUV_X1-20.jpg,BMW/SUV_X1/2016-2019
./data/dataset/BMW_SUV_X1_2016-2019/SUV_X1-3_aug15.jpg,BMW/SUV_X1/2016-2019
./data/dataset/BMW_SUV_X1_2016-2019/SUV_X1-100_aug0.jpg,BMW/SUV_X1/2016-2019
./data/dataset/BMW_SUV_X1_2016-2019/SUV_X1-105.jpg,BMW/SUV_X1/2016-2019
./data/dataset/BMW_SUV_X1_2016-2019/SUV_X1-4_aug20.jpg,BMW/SUV_X1/2016-2019
./data/dataset/BMW_SUV_X1_2016-2019/SUV_X1-3.jpg,BMW/SUV_X1/2016-2019
./data/dataset/BMW_SUV_X1_2016-2019/SUV_X1-56_aug28.jpg,BMW/SUV_X1/2016-2019
./data/dataset/BMW_SUV_X1_2016-2019/SUV_X1-48_aug23.jpg,BMW/SUV_X1/2016-2019
./data/dataset/BMW_SUV_X1_2016-2019/SUV_X1-22.jpg,BMW/SUV_X1/2016-2019
./data/dataset/BMW_SUV_X1_2016-2019/SUV_X1-15_aug5.jpg,BMW/SUV_X1/2016-2019
./data/dataset/BMW_SUV_X1_2016-2019/SUV_X1-18_aug6.jpg,BMW/SUV_X1/2016-2019
./data/dataset/BMW_SUV_X1_2016-2019/SUV_X1-47_aug22.jpg,BMW/SUV_X1/2016-2019
./data/dataset/BMW_SUV_X1_2016-2019/SUV_X1-89.jpg,BMW/SUV_X1/2016-2019
./data/dataset/BMW_SUV_X1_2016-2019/SUV_X1-93.jpg,BMW/SUV_X1/2016-2019
./data/dataset/BMW_SUV_X1_2016-2019/SUV_X1-80_aug42.jpg,BMW/SUV_X1/2016-2019
./data/dataset/BMW_SUV_X1_2016-2019/SUV_X1-54_aug26.jpg,BMW/SUV_X1/2016-2019
./data/dataset/BMW_SUV_X1_2016-2019/SUV_X1-74.jpg,BMW/SUV_X1/2016-2019
./data/dataset/BMW_SUV_X1_2016-2019/SUV_X1-6.jpg,BMW/SUV_X1/2016-2019
./data/dataset/BMW_SUV_X1_2016-2019/SUV_X1-43.jpg,BMW/SUV_X1/2016-2019
./data/dataset/BMW_SUV_X1_2016-2019/SUV_X1-67.jpg,BMW/SUV_X1/2016-2019
./data/dataset/BMW_SUV_X1_2016-2019/SUV_X1-90_aug46.jpg,BMW/SUV_X1/2016-2019
./data/dataset/BMW_SUV_X1_2016-2019/SUV_X1-6_aug30.jpg,BMW/SUV_X1/2016-2019
./data/dataset/BMW_SUV_X1_2016-2019/SUV_X1-95.jpg,BMW/SUV_X1/2016-2019
./data/dataset/BMW_SUV_X1_2016-2019/SUV_X1-68_aug33.jpg,BMW/SUV_X1/2016-2019
./data/dataset/BMW_SUV_X1_2016-2019/SUV_X1-54.jpg,BMW/SUV_X1/2016-2019
./data/dataset/BMW_SUV_X1_2016-2019/SUV_X1-74_aug37.jpg,BMW/SUV_X1/2016-2019
./data/dataset/BMW_SUV_X1_2016-2019/SUV_X1-68.jpg,BMW/SUV_X1/2016-2019
./data/dataset/BMW_SUV_X1_2016-2019/SUV_X1-2.jpg,BMW/SUV_X1/2016-2019
./data/dataset/BMW_SUV_X1_2016-2019/SUV_X1-92.jpg,BMW/SUV_X1/2016-2019
./data/dataset/BMW_SUV_X1_2016-2019/SUV_X1-20_aug9.jpg,BMW/SUV_X1/2016-2019
./data/dataset/BMW_SUV_X1_2016-2019/SUV_X1-25_aug13.jpg,BMW/SUV_X1/2016-2019
./data/dataset/BMW_SUV_X1_2016-2019/SUV_X1-50_aug24.jpg,BMW/SUV_X1/2016-2019
./data/dataset/BMW_SUV_X1_2016-2019/SUV_X1-88.jpg,BMW/SUV_X1/2016-2019
./data/dataset/BMW_SUV_X1_2016-2019/SUV_X1-93_aug48.jpg,BMW/SUV_X1/2016-2019
./data/dataset/BMW_SUV_X1_2016-2019/SUV_X1-106_aug2.jpg,BMW/SUV_X1/2016-2019
./data/dataset/BMW_SUV_X1_2016-2019/SUV_X1-72_aug35.jpg,BMW/SUV_X1/2016-2019
./data/dataset/BMW_SUV_X1_2016-2019/SUV_X1-24.jpg,BMW/SUV_X1/2016-2019
./data/dataset/BMW_SUV_X1_2016-2019/SUV_X1-73.jpg,BMW/SUV_X1/2016-2019
./data/dataset/BMW_SUV_X1_2016-2019/SUV_X1-48.jpg,BMW/SUV_X1/2016-2019
./data/dataset/BMW_SUV_X1_2016-2019/SUV_X1-78.jpg,BMW/SUV_X1/2016-2019
./data/dataset/BMW_SUV_X1_2016-2019/SUV_X1-79.jpg,BMW/SUV_X1/2016-2019
